Station,Local authority,connectivity
Carshalton,Sutton,1.0002265040488973
Richmond,Richmond,1.0195345036978543
Blackwall,Tower Hamlets,1.0049856544698628
Crystal Palace,Bromley,1.0001714649868017
St Pauls,City of London,1.314613745988874
Brent Cross,Barnet,1.0071421007225951
Blackfriars,City of London,1.0032900559515747
Stepney Green,Tower Hamlets,1.0153679919806586
Barkingside,Redbridge,1.005209692263246
Limehouse NR,Tower Hamlets,1.0045109651805126
Heathrow Terms 123,Hillingdon,1.0103629068442064
Hainault,Redbridge,1.0150118203498777
Moorgate,City of London,1.4062548508906267
West Ealing,Ealing,1.001335392670393
Brondesbury,Brent,1.0019839368929349
Norbury,Croydon,1.0008938086836598
Hyde Park Corner,City of Westminster,1.009822932656968
Kew Gardens,Richmond,1.0110563506447974
Poplar,Tower Hamlets,1.002012525967988
South Kenton,Brent,1.001350796146184
Hounslow West,Hounslow,1.0063349994439283
Harrow Wealdstone,Harrow,1.0081344372781578
Langdon Park,Tower Hamlets,1.001842607406096
Oakwood,Enfield,1.0065145127849289
Golders Green,Barnet,1.0252530810706224
Buckhurst Hill,Epping Forest,1.0154293666408205
Dagenham Heathway,Barking and Dagenham,1.0153653074035307
Ruislip Manor,Hillingdon,1.003729815490697
Hackney Downs,Hackney,1.0037021407853315
Hampstead Heath,Camden,1.0027895772824715
Tulse Hill,Lambeth,1.0002557817314617
Parsons Green,Hammersmith and Fulham,1.0212968281396015
Hatch End,Harrow,1.001340723606209
Ravenscourt Park,Hammersmith and Fulham,1.007171748526951
West Ruislip,Hillingdon,1.0062023408278624
Warren Street,Camden,1.0218723941068637
Shadwell DLR,Tower Hamlets,1.0092800542289169
Chigwell,Epping Forest,1.0019889163655926
Kilburn Park,Brent,1.0107041537179005
North Ealing,Ealing,1.0015767100537103
Bank,City of London,1.5519856108229346
Harringay Green Lanes,Haringey,1.0004301303115983
Watford High Street,Watford,1.002869667034993
All Saints,Tower Hamlets,1.0014327520524322
Cambridge Heath,Tower Hamlets,1.000492381614859
Stamford Brook,Hammersmith and Fulham,1.0078700441849648
West India Quay,Tower Hamlets,1.0021018174088065
Northwick Park,Brent,1.0122379953292968
Kensal Rise,Brent,1.0014807106178163
Camden Road,Camden,1.003464086016943
Park Royal,Ealing,1.002431962003583
Perivale,Ealing,1.0078856767335254
Earls Court,Kensington and Chelsea,1.0515902728657405
Northwood,Hillingdon,1.0077263658420612
South Harrow,Harrow,1.004659079480732
Ruislip Gardens,Hillingdon,1.003443734221341
Willesden Green,Brent,1.0205206909020414
Neasden,Brent,1.005641572650838
Mansion House,City of London,1.152667630323416
Limehouse DLR,Tower Hamlets,1.0125077637984135
Walthamstow Queens Road,Waltham Forest,1.0002988987662063
Redbridge,Redbridge,1.0123631236890671
St James's Park,City of Westminster,1.0359202298216292
Uxbridge,Hillingdon,1.015921569358255
Shepherds Bush,Hammersmith and Fulham,1.0841453460903936
Dagenham Dock,Barking and Dagenham,1.0005486426418655
Elephant & Castle,Southwark,1.0353840799775011
Westbourne Park,City of Westminster,1.0107527883686496
Northolt,Ealing,1.0143505509304833
Highgate,Haringey,1.0183055407821042
Kingsbury,Brent,1.0076024353398725
Turnham Green,Hounslow,1.0172032023158266
South Woodford,Redbridge,1.0243934311759813
Aldgate,City of London,1.1187427342208798
Ladbroke Grove,Kensington and Chelsea,1.014434256005872
Oxford Circus,City of Westminster,1.1833563223482138
Brixton,Lambeth,1.0483158766518572
South Wimbledon,Merton,1.011882765192439
Crouch Hill,Islington,1.0003889618081776
Sudbury Town,Brent,1.0047820093049797
Chalfont & Latimer,Chiltern,1.0060894651317809
Pinner,Harrow,1.010285346249855
Canons Park,Harrow,1.0068998481558968
Leyton,Waltham Forest,1.0487108195412256
Stratford,Newham,1.0853117013674844
Whitechapel,Tower Hamlets,1.031468484757369
Arsenal,Islington,1.0120451051836896
Acton Main Line,Ealing,1.0000858419386243
Mornington Crescent,Camden,1.0086538061997565
Lambeth North,Lambeth,1.0046937040664061
Headstone Lane,Harrow,1.000402294087689
St James Street,Waltham Forest,1.0037051142321793
Blackhorse Road,Waltham Forest,1.0109623692311018
Tottenham Hale,Haringey,1.012623816546487
Deptford Bridge,Greenwich,1.0024919709855036
Fenchurch St NR,City of London,1.0736365685321891
Monument,City of London,1.1600545689843644
Essex Road,Islington,1.0018003347538347
Gants Hill,Redbridge,1.0250852110328745
Westferry,Tower Hamlets,1.0069290349538504
Goldhawk Road,Hammersmith and Fulham,1.0054507485069895
Greenford,Ealing,1.011489593831874
East Croydon,Croydon,1.0034013159792547
Clapton,Hackney,1.0040852597999692
Drayton Pk,Islington,1.0046907593091954
Elverson Road,Lewisham,1.0003210968682816
Queens Park,Brent,1.0171192961602098
East Acton,Hammersmith and Fulham,1.0112501851807072
Aldgate East,Tower Hamlets,1.0269944920705463
Wanstead,Redbridge,1.013805265664237
Fulham Broadway,Hammersmith and Fulham,1.0314185866427592
Stamford Hill,Hackney,1.0009039239199868
Hillingdon,Hillingdon,1.0029052049934692
Bond Street,City of Westminster,1.1190969292599988
Sydenham SR,Lewisham,1.000233005155172
Euston Square,Camden,1.0500432946764744
West Acton,Ealing,1.0057809016327917
Lancaster Gate,City of Westminster,1.0270765069205616
Mile End,Tower Hamlets,1.051298743748998
Edgware Road B,City of Westminster,1.0070409073402184
Heron Quays,Tower Hamlets,1.0065313693956828
Wembley Stadium,Brent,1.0001923145618226
Willesden Junction,Brent,1.007354686080422
Canning Town,Newham,1.015835903648785
West Ham,Newham,1.0078603433857896
Harlesden,Brent,1.0038444016009398
East India,Tower Hamlets,1.005291677159402
Rayners Lane,Harrow,1.0113019776400427
Carpenders Park,Three Rivers,1.002356473254304
Bellingham,Lewisham,1.0000055469680273
Gloucester Road,Kensington and Chelsea,1.0440170993386595
Holloway Road,Islington,1.0209613136611453
West Hampstead,Camden,1.026585696515666
Kensington Olympia,Kensington and Chelsea,1.0046992523550164
Ruislip,Hillingdon,1.0030068491922224
Epping,Epping Forest,1.016904434806306
Queensbury,Brent,1.010251359934493
Preston Road,Brent,1.0110777723014444
Caledonian Road,Islington,1.0143075416166685
Kensal Green,Brent,1.0051283353123173
Becontree,Barking and Dagenham,1.009003991159315
Regents Park,City of Westminster,1.0057564972348838
Finsbury Park,Islington,1.0419073179544132
Hayes & Harlington,Hillingdon,1.0027851247581876
