Init_station,Init_time,Time,Value,Total
17.0,3.0,88.95833333333333,448617.60329839826,4589307.319361969
17.0,99.0,89.0,448256.64039200044,4589110.65796849
17.0,123.0,89.0,448184.26529089885,4589067.937587023
18.0,3.0,88.5,455444.81507965014,4593151.6961662825
18.0,99.0,88.5,455234.70039778284,4593018.497681335
18.0,123.0,88.5,454986.380053855,4592960.243928978
19.0,3.0,103.66666666666667,456556.12959373964,4589441.9708605055
19.0,99.0,103.75,456324.149013964,4589356.694307617
19.0,123.0,103.66666666666667,456458.578071194,4589414.633343162
20.0,3.0,88.5,456599.6660743831,4593418.103739144
20.0,99.0,88.5,456089.6111008491,4593230.609729452
20.0,123.0,88.5,455919.85273800563,4593188.494135556
21.0,3.0,88.54166666666667,450091.4455937592,4591016.295659015
21.0,99.0,88.58333333333333,449742.7804611157,4590822.212054055
21.0,123.0,88.58333333333333,449662.47564123955,4590792.4128992725
22.0,3.0,94.25,447164.60021065886,4588317.72550183
22.0,99.0,94.29166666666667,447018.90064569144,4588228.145080078
22.0,123.0,94.41666666666667,446935.9453436072,4588179.983944968
23.0,3.0,88.45833333333333,453897.0108842447,4592658.414560394
23.0,99.0,88.45833333333333,453533.9296944002,4592498.52420765
23.0,123.0,88.45833333333333,453471.52372780547,4592470.611100519
24.0,3.0,114.83333333333333,454530.10983918735,4611968.023831565
24.0,99.0,115.20833333333333,454233.9503431469,4611854.154254292
24.0,123.0,115.08333333333333,454346.84221111366,4611895.985137509
25.0,3.0,88.5,455526.8511980835,4593170.533596283
25.0,99.0,88.5,455315.4509001467,4593072.5381558975
25.0,123.0,88.5,455192.1577129446,4593041.616615389
26.0,3.0,88.5,454681.0126115115,4592947.53028615
26.0,99.0,88.5,454334.82700409833,4592798.249009726
26.0,123.0,88.5,454313.0798050341,4592797.586866241
27.0,3.0,88.5,455967.75173059036,4593421.126787592
27.0,99.0,88.5,455580.7220524502,4593256.635918334
27.0,123.0,88.45833333333333,455305.4593539927,4593184.301867492
28.0,3.0,91.5,446149.3040437873,4587044.683938859
28.0,99.0,91.625,445808.0908518574,4586842.296754669
28.0,123.0,91.54166666666667,445948.1410890226,4586920.107559209
29.0,3.0,88.625,454449.21157961024,4592451.772298802
29.0,99.0,88.625,453930.68492388795,4592270.180516432
29.0,123.0,88.70833333333333,453830.3550834769,4592193.160290606
30.0,3.0,88.45833333333333,456547.57787257776,4593612.598688886
30.0,99.0,88.45833333333333,456194.5094280292,4593468.396464992
30.0,123.0,88.45833333333333,456061.2062931667,4593425.389390128
31.0,3.0,88.5,450889.7277327218,4591416.027369279
31.0,99.0,88.54166666666667,450506.82758351334,4591243.494066128
31.0,123.0,88.54166666666667,450382.7856413129,4591198.14374431
32.0,3.0,88.5,455416.8356074874,4593250.653602755
32.0,99.0,88.5,455143.00203841715,4593099.701157239
32.0,123.0,88.5,455234.8795556744,4593178.081177985
33.0,3.0,88.5,453604.34361990524,4592454.233823203
33.0,99.0,88.5,453426.7368979822,4592355.035820203
33.0,123.0,88.5,453405.352120467,4592363.655945582
34.0,3.0,88.5,453469.5551016317,4592331.608145994
34.0,99.0,88.5,453259.9215444542,4592228.761759139
34.0,123.0,88.5,453276.9960116452,4592238.631638897
35.0,3.0,88.5,455172.88562151196,4593032.567602091
35.0,99.0,88.5,454840.20812481904,4592896.540388597
35.0,123.0,88.5,454710.36829563475,4592861.137243971
36.0,3.0,88.54166666666667,448939.59007402154,4590409.938875329
36.0,99.0,88.58333333333333,448330.43288688664,4590082.145516526
36.0,123.0,88.58333333333333,448299.93937035906,4590081.418146323
37.0,3.0,88.5,455910.40558804385,4593360.359730639
37.0,99.0,88.5,455571.1228502183,4593214.641347101
37.0,123.0,88.5,455545.45552064717,4593211.559555508
38.0,3.0,88.5,451920.31384388654,4591764.5150390165
38.0,99.0,88.5,451683.537765348,4591652.060130744
38.0,123.0,88.5,451670.15042449045,4591648.510217363
39.0,3.0,88.5,456525.870575669,4593485.767552322
39.0,99.0,88.5,456316.22465007857,4593392.366434506
39.0,123.0,88.5,455849.33213032957,4593250.923438789
40.0,3.0,111.08333333333333,460921.5410996312,4586616.036857465
40.0,99.0,111.41666666666667,460684.9948335646,4586421.298365064
40.0,123.0,111.25,460775.48575661145,4586492.333316436
41.0,3.0,88.45833333333333,455469.1040732082,4593247.560251355
41.0,99.0,88.45833333333333,455007.74061214516,4593066.184704863
41.0,123.0,88.45833333333333,455110.7454976816,4593102.23027556
42.0,3.0,88.5,451865.34446430305,4591542.6108795
42.0,99.0,88.5,451770.493599082,4591480.877753351
42.0,123.0,88.5,451777.80872811377,4591492.489568872
43.0,3.0,88.91666666666667,449028.30836605106,4589229.9374764785
43.0,99.0,88.95833333333333,448688.78153766546,4589002.558084777
43.0,123.0,89.0,448397.0132169762,4588833.014802709
44.0,3.0,88.5,453575.2961889767,4592535.531837365
44.0,99.0,88.5,453193.59116417344,4592390.275937855
44.0,123.0,88.5,453061.9180431161,4592327.649846055
45.0,3.0,88.5,453628.3989920575,4592486.574863315
45.0,99.0,88.5,453477.03410102485,4592409.490080623
45.0,123.0,88.5,453480.3996738788,4592412.879366664
46.0,3.0,90.70833333333333,446414.40384224383,4586648.682067821
46.0,99.0,90.79166666666667,446030.64062324364,4586424.306511266
46.0,123.0,90.83333333333333,446010.41430630133,4586400.012075805
47.0,3.0,88.5,455194.54875256564,4593079.245048734
47.0,99.0,88.5,454934.08565396327,4592960.197308784
47.0,123.0,88.5,454842.90491102333,4592937.099401893
48.0,3.0,89.25,446872.89798842114,4587857.144367803
48.0,99.0,89.29166666666667,446490.07917711395,4587604.695111136
48.0,123.0,89.29166666666667,446445.30132100853,4587574.065404026
49.0,3.0,94.20833333333333,447190.42992204713,4587415.713629974
49.0,99.0,94.20833333333333,446953.5467671708,4587239.591374112
49.0,123.0,94.25,446933.33637711045,4587218.322628037
50.0,3.0,88.45833333333333,453124.9928918191,4592252.054691169
50.0,99.0,88.45833333333333,452813.3071875574,4592089.559810983
50.0,123.0,88.45833333333333,452728.15258303407,4592060.617788682
51.0,3.0,88.5,456017.42292749125,4593340.450967835
51.0,99.0,88.5,455438.3265985317,4593125.466801544
51.0,123.0,88.5,455190.674669021,4593047.8205306865
52.0,3.0,88.45833333333333,455330.9990439843,4593198.136359608
52.0,99.0,88.45833333333333,454969.0043343407,4593052.290700324
52.0,123.0,88.45833333333333,454965.6962268106,4593055.413291424
53.0,3.0,88.45833333333333,455451.41261833534,4593298.963021329
53.0,99.0,88.45833333333333,455105.00816353573,4593164.873878552
53.0,123.0,88.5,455032.55816674634,4593079.734510802
54.0,3.0,88.45833333333333,455272.7760344333,4593210.560397938
54.0,99.0,88.5,454922.91066900233,4593049.081092402
54.0,123.0,88.5,454661.46438329434,4592957.687717914
55.0,3.0,88.5,457015.2924784097,4593612.813533454
55.0,99.0,88.5,456732.3952969501,4593469.920406471
55.0,123.0,88.54166666666667,457002.9658968839,4593432.96884552
56.0,3.0,88.45833333333333,451875.8369951411,4591756.192363102
56.0,99.0,88.45833333333333,451527.04645820556,4591567.735994763
56.0,123.0,88.45833333333333,451450.10965434916,4591556.142408356
57.0,3.0,88.54166666666667,452137.2338839385,4591830.147867268
57.0,99.0,88.54166666666667,451550.8320962597,4591556.368774507
57.0,123.0,88.54166666666667,451460.1289917149,4591524.461228231
58.0,3.0,90.125,443332.25386282656,4584444.207591752
58.0,99.0,90.16666666666667,443113.13040127204,4584303.597974205
58.0,123.0,90.16666666666667,443109.252356473,4584315.389834117
59.0,3.0,101.66666666666667,459753.52683027234,4589800.405387436
59.0,99.0,101.79166666666667,459661.11501581734,4589689.686856428
59.0,123.0,101.875,459579.60250940546,4589681.399542943
60.0,3.0,96.54166666666667,450509.62778006674,4590371.516133942
